	DECLARANT	DECLARANT_ISO	PARTNER	PARTNER_ISO	PRODUCT_HS	FLOW	TRANSPORT_MODE	PERIOD	VALUE_IN_EUROS	QUANTITY_IN_KG
92174	1	FR	73	BY	010513	2	3	202252	59313	1881
92175	1	FR	73	BY	020329	2	1	202252	54158	20991
92176	1	FR	73	BY	020329	2	3	202252	52151	20520
92177	1	FR	73	BY	020629	2	3	202252	21328	19465
92178	1	FR	73	BY	020910	2	1	202252	285266	141535
92179	1	FR	73	BY	030399	2	3	202252	589537	428286
92180	1	FR	73	BY	030495	2	3	202252	1495912	369000
92181	1	FR	73	BY	030499	2	3	202252	334902	106851
92182	1	FR	73	BY	030760	1	3	202252	1093254	97600
92183	1	FR	73	BY	040900	1	0	202252	57	2
92184	1	FR	73	BY	050400	2	3	202252	21299	4000
92185	1	FR	73	BY	050800	1	3	202252	421056	52303
92186	1	FR	73	BY	051199	2	3	202252	487740	441000
92187	1	FR	73	BY	060490	1	0	202252	1	0
92188	1	FR	73	BY	070110	2	3	202252	111300	168500
92189	1	FR	73	BY	070953	1	3	202252	147713	21384
92190	1	FR	73	BY	071159	1	3	202252	445984	74544
92191	1	FR	73	BY	071239	1	0	202252	6	0
92192	1	FR	73	BY	071290	2	3	202252	244405	8515
92193	1	FR	73	BY	071333	2	3	202252	17800	3736
92194	1	FR	73	BY	080270	1	0	202252	1	0
92195	1	FR	73	BY	080299	1	0	202252	1	0
92196	1	FR	73	BY	081330	1	0	202252	1	0
92197	1	FR	73	BY	081340	1	0	202252	5	0
92198	1	FR	73	BY	090210	1	0	202252	107	4
92199	1	FR	73	BY	090220	1	0	202252	41	3
92200	1	FR	73	BY	090230	1	0	202252	1	0
92201	1	FR	73	BY	090240	1	0	202252	281	21
92202	1	FR	73	BY	090520	1	0	202252	47	0
92203	1	FR	73	BY	091099	1	0	202252	7	0
92204	1	FR	73	BY	100310	2	3	202252	30000	39600
92205	1	FR	73	BY	100310	2	4	202252	140	130
92206	1	FR	73	BY	100510	2	3	202252	6055994	1804343
92207	1	FR	73	BY	100510	2	4	202252	382	65
92208	1	FR	73	BY	100590	2	4	202252	111	60
92209	1	FR	73	BY	100710	2	3	202252	36	12
92210	1	FR	73	BY	100890	1	0	202252	70	4
92211	1	FR	73	BY	110100	2	3	202252	7540	12100
92212	1	FR	73	BY	120110	2	3	202252	201	67
92213	1	FR	73	BY	120510	2	3	202252	2236359	230699
92214	1	FR	73	BY	120600	2	3	202252	151214	21097
92215	1	FR	73	BY	120600	2	4	202252	49	97
92216	1	FR	73	BY	120770	2	3	202252	9484	9
92217	1	FR	73	BY	120910	2	3	202252	4244811	134601
92218	1	FR	73	BY	120921	2	3	202252	126530	34086
92219	1	FR	73	BY	120922	2	3	202252	3	3
92220	1	FR	73	BY	120923	2	3	202252	6	6
92221	1	FR	73	BY	120929	2	3	202252	30	64
92222	1	FR	73	BY	120991	2	3	202252	1015788	4843
92223	1	FR	73	BY	120999	2	3	202252	735	50
92224	1	FR	73	BY	121229	1	0	202252	5	0
92225	1	FR	73	BY	130190	2	3	202252	9510	80
92226	1	FR	73	BY	130190	2	4	202252	33	1
92227	1	FR	73	BY	130219	2	3	202252	47819	1315
92228	1	FR	73	BY	130219	2	4	202252	2114	120
92229	1	FR	73	BY	151530	2	3	202252	177	21
92230	1	FR	73	BY	160412	1	3	202252	75028	18208
92231	1	FR	73	BY	160432	1	0	202252	56	2
92232	1	FR	73	BY	170230	2	3	202252	18360	18000
92233	1	FR	73	BY	170260	2	3	202252	320	48
92234	1	FR	73	BY	170290	2	3	202252	23487	21620
92235	1	FR	73	BY	170490	1	0	202252	342	41
92236	1	FR	73	BY	170490	2	3	202252	197	18
92237	1	FR	73	BY	180100	1	0	202252	16	3
92238	1	FR	73	BY	180500	1	0	202252	13	1
