	DECLARANT	DECLARANT_ISO	PARTNER	PARTNER_ISO	PRODUCT_HS	FLOW	TRANSPORT_MODE	PERIOD	VALUE_IN_EUROS	QUANTITY_IN_KG
51444	1	FR	73	BY	010513	2	3	201852	234286	17600
51445	1	FR	73	BY	020714	2	3	201852	71648	318750
51446	1	FR	73	BY	020910	2	3	201852	51600	60903
51447	1	FR	73	BY	030313	2	3	201852	107639	85024
51448	1	FR	73	BY	030399	1	3	201852	11968	20436
51449	1	FR	73	BY	030399	2	3	201852	48537	28148
51450	1	FR	73	BY	030481	2	3	201852	54974	16311
51451	1	FR	73	BY	030482	2	3	201852	72965	21250
51452	1	FR	73	BY	030499	2	3	201852	547484	208072
51453	1	FR	73	BY	030760	1	3	201852	329350	39440
51454	1	FR	73	BY	040410	2	3	201852	557	205
51455	1	FR	73	BY	040510	2	3	201852	8850	1760
51456	1	FR	73	BY	040610	2	3	201852	53831	4646
51457	1	FR	73	BY	040640	2	3	201852	74089	7057
51458	1	FR	73	BY	040690	2	3	201852	467400	73599
51459	1	FR	73	BY	050800	1	3	201852	149115	21247
51460	1	FR	73	BY	051191	2	4	201852	29304	107
51461	1	FR	73	BY	051199	2	3	201852	596002	646561
51462	1	FR	73	BY	060290	2	3	201852	2530	442
51463	1	FR	73	BY	070110	2	3	201852	281720	461250
51464	1	FR	73	BY	070190	2	3	201852	12260	20000
51465	1	FR	73	BY	070959	1	3	201852	721562	100290
51466	1	FR	73	BY	071159	1	1	201852	27600	12000
51467	1	FR	73	BY	071159	1	3	201852	382098	122825
51468	1	FR	73	BY	071290	2	3	201852	22647	2212
51469	1	FR	73	BY	071290	2	4	201852	8625	364
51470	1	FR	73	BY	071333	2	3	201852	548	141
51471	1	FR	73	BY	080510	2	3	201852	1457	1804
51472	1	FR	73	BY	080529	2	3	201852	12596	18000
51473	1	FR	73	BY	080810	2	1	201852	8618	7593
51474	1	FR	73	BY	080810	2	3	201852	9194	7790
51475	1	FR	73	BY	081190	1	3	201852	248738	78120
51476	1	FR	73	BY	081190	2	3	201852	68075	18478
51477	1	FR	73	BY	091099	2	3	201852	263	39
51478	1	FR	73	BY	100111	2	4	201852	25	50
51479	1	FR	73	BY	100310	2	3	201852	19085	25300
51480	1	FR	73	BY	100310	2	4	201852	143	286
51481	1	FR	73	BY	100510	2	3	201852	1959200	603247
51482	1	FR	73	BY	100510	2	4	201852	2315	905
51483	1	FR	73	BY	110100	2	3	201852	14461	31020
51484	1	FR	73	BY	110290	2	3	201852	77	100
51485	1	FR	73	BY	110710	2	3	201852	1880	1037
51486	1	FR	73	BY	11SSS5	2	3	201852	1080	2000
51487	1	FR	73	BY	120400	2	1	201852	92770	39880
51488	1	FR	73	BY	120400	2	3	201852	125708	59580
51489	1	FR	73	BY	120510	2	3	201852	422122	44526
51490	1	FR	73	BY	120510	2	4	201852	1	3
51491	1	FR	73	BY	120600	2	4	201852	10	4
51492	1	FR	73	BY	120770	2	3	201852	11296	13
51493	1	FR	73	BY	120770	2	4	201852	16153	12
51494	1	FR	73	BY	120910	2	3	201852	954902	34979
51495	1	FR	73	BY	120921	2	3	201852	176360	42450
51496	1	FR	73	BY	120921	2	4	201852	1	3
51497	1	FR	73	BY	120929	2	3	201852	10	60
51498	1	FR	73	BY	120929	2	4	201852	21143	380
51499	1	FR	73	BY	120991	2	3	201852	626641	4505
51500	1	FR	73	BY	120991	2	4	201852	144625	1230
51501	1	FR	73	BY	120999	2	4	201852	14377	286
51502	1	FR	73	BY	121229	2	3	201852	43574	368
51503	1	FR	73	BY	130190	2	3	201852	1840	20
