	DECLARANT	DECLARANT_ISO	PARTNER	PARTNER_ISO	PRODUCT_HS	FLOW	TRANSPORT_MODE	PERIOD	VALUE_IN_EUROS	QUANTITY_IN_KG
89031	1	FR	73	BY	010513	2	3	202152	401355	13597
89032	1	FR	73	BY	020629	2	3	202152	216306	217287
89033	1	FR	73	BY	020910	2	1	202152	44500	82483
89034	1	FR	73	BY	030399	2	3	202152	2564180	1373106
89035	1	FR	73	BY	030481	2	3	202152	51699	24439
89036	1	FR	73	BY	030495	2	3	202152	1449328	429440
89037	1	FR	73	BY	030499	2	3	202152	62502	55685
89038	1	FR	73	BY	030760	1	3	202152	911945	94665
89039	1	FR	73	BY	040610	2	3	202152	88239	7678
89040	1	FR	73	BY	040630	2	3	202152	7744	624
89041	1	FR	73	BY	040640	2	3	202152	74370	6189
89042	1	FR	73	BY	040690	2	3	202152	565295	82687
89043	1	FR	73	BY	040900	1	0	202152	4	0
89044	1	FR	73	BY	050800	1	3	202152	283124	39241
89045	1	FR	73	BY	051191	2	4	202152	45600	182
89046	1	FR	73	BY	051199	2	3	202152	476700	502000
89047	1	FR	73	BY	060290	2	3	202152	6607	976
89048	1	FR	73	BY	070110	2	3	202152	104400	162250
89049	1	FR	73	BY	070959	1	3	202152	993715	126642
89050	1	FR	73	BY	071080	1	3	202152	79263	11358
89051	1	FR	73	BY	071159	1	3	202152	398093	75217
89052	1	FR	73	BY	071239	1	3	202152	3990	409
89053	1	FR	73	BY	071290	2	1	202152	2403	350
89054	1	FR	73	BY	071290	2	3	202152	257054	9557
89055	1	FR	73	BY	071290	2	4	202152	3981	231
89056	1	FR	73	BY	071310	2	3	202152	8417	6515
89057	1	FR	73	BY	071333	2	3	202152	4851	1041
89058	1	FR	73	BY	071333	2	4	202152	43	61
89059	1	FR	73	BY	080810	2	3	202152	34711	27090
89060	1	FR	73	BY	080830	2	3	202152	5068	3200
89061	1	FR	73	BY	081190	1	3	202152	509186	145830
89062	1	FR	73	BY	081350	1	0	202152	1	0
89063	1	FR	73	BY	090210	1	0	202152	150	6
89064	1	FR	73	BY	090220	1	0	202152	21	7
89065	1	FR	73	BY	090230	1	0	202152	1	0
89066	1	FR	73	BY	090240	1	0	202152	2	0
89067	1	FR	73	BY	091099	1	0	202152	1	0
89068	1	FR	73	BY	100191	2	1	202152	167	167
89069	1	FR	73	BY	100191	2	3	202152	38650	21150
89070	1	FR	73	BY	100310	2	3	202152	40800	59600
89071	1	FR	73	BY	100390	2	4	202152	74	147
89072	1	FR	73	BY	100490	1	0	202152	21	1
89073	1	FR	73	BY	100510	2	1	202152	36120	11739
89074	1	FR	73	BY	100510	2	3	202152	2516413	751379
89075	1	FR	73	BY	100510	2	4	202152	1191	478
89076	1	FR	73	BY	100710	2	4	202152	2533	1196
89077	1	FR	73	BY	100860	2	4	202152	70	140
89078	1	FR	73	BY	110100	2	3	202152	8975	17400
89079	1	FR	73	BY	120190	2	4	202152	3	0
89080	1	FR	73	BY	120400	2	3	202152	74400	40000
89081	1	FR	73	BY	120400	2	4	202152	3728	35
89082	1	FR	73	BY	120510	2	3	202152	2902381	302792
89083	1	FR	73	BY	120510	2	4	202152	3466	700
89084	1	FR	73	BY	120590	2	4	202152	2	2
89085	1	FR	73	BY	120600	1	0	202152	2	0
89086	1	FR	73	BY	120600	2	3	202152	235407	30668
89087	1	FR	73	BY	120600	2	4	202152	40	4
89088	1	FR	73	BY	120770	2	3	202152	57671	90
89089	1	FR	73	BY	120910	2	3	202152	1252468	44359
89090	1	FR	73	BY	120921	1	3	202152	63500	15875
89091	1	FR	73	BY	120921	2	3	202152	189450	45975
89092	1	FR	73	BY	120929	2	3	202152	3504	2004
89093	1	FR	73	BY	120991	2	3	202152	790335	3271
89094	1	FR	73	BY	120991	2	4	202152	47	11
89095	1	FR	73	BY	121190	2	3	202152	514	18
