	DECLARANT	DECLARANT_ISO	PARTNER	PARTNER_ISO	PRODUCT_HS	FLOW	TRANSPORT_MODE	PERIOD	VALUE_IN_EUROS	QUANTITY_IN_KG
78016	1	FR	73	BY	010513	2	3	202052	368389	17951
78017	1	FR	73	BY	010619	1	4	202052	6899	13
78018	1	FR	73	BY	020329	2	3	202052	25363	20302
78019	1	FR	73	BY	020629	2	3	202052	69277	97272
78020	1	FR	73	BY	020714	2	3	202052	84746	207804
78021	1	FR	73	BY	020910	2	1	202052	83145	123665
78022	1	FR	73	BY	020910	2	3	202052	173318	225317
78023	1	FR	73	BY	030191	2	4	202052	15200	58
78024	1	FR	73	BY	030313	2	3	202052	58750	44898
78025	1	FR	73	BY	030399	2	3	202052	185100	192003
78026	1	FR	73	BY	030481	2	3	202052	73762	39080
78027	1	FR	73	BY	030482	2	3	202052	53826	17850
78028	1	FR	73	BY	030495	2	3	202052	879844	273280
78029	1	FR	73	BY	030499	2	3	202052	114713	56997
78030	1	FR	73	BY	030711	2	4	202052	6317	345
78031	1	FR	73	BY	030760	1	3	202052	578417	52360
78032	1	FR	73	BY	040410	2	3	202052	569	20
78033	1	FR	73	BY	040610	2	3	202052	77552	6384
78034	1	FR	73	BY	040630	2	3	202052	3661	276
78035	1	FR	73	BY	040640	2	3	202052	89037	8201
78036	1	FR	73	BY	040690	2	3	202052	647163	99273
78037	1	FR	73	BY	050800	1	3	202052	392815	55192
78038	1	FR	73	BY	051191	2	4	202052	31500	115
78039	1	FR	73	BY	051199	2	3	202052	392780	396000
78040	1	FR	73	BY	060490	1	3	202052	10917	1722
78041	1	FR	73	BY	070110	2	3	202052	274326	368720
78042	1	FR	73	BY	070190	2	3	202052	15900	20000
78043	1	FR	73	BY	070940	2	3	202052	2610	2917
78044	1	FR	73	BY	070959	1	3	202052	893664	130410
78045	1	FR	73	BY	071010	2	3	202052	33470	41000
78046	1	FR	73	BY	071159	1	3	202052	727469	210798
78047	1	FR	73	BY	071290	2	3	202052	162007	7900
78048	1	FR	73	BY	071290	2	4	202052	12053	833
78049	1	FR	73	BY	071333	2	3	202052	32102	7680
78050	1	FR	73	BY	080550	2	3	202052	8854	12960
78051	1	FR	73	BY	080810	2	3	202052	59160	45900
78052	1	FR	73	BY	080830	2	3	202052	13585	9386
78053	1	FR	73	BY	081070	2	3	202052	7798	13748
78054	1	FR	73	BY	081190	1	1	202052	56499	19530
78055	1	FR	73	BY	081190	1	3	202052	222032	78590
78056	1	FR	73	BY	090210	2	3	202052	492	8
78057	1	FR	73	BY	090230	2	3	202052	246	4
78058	1	FR	73	BY	090300	2	3	202052	246	4
78059	1	FR	73	BY	100191	2	3	202052	84400	47400
78060	1	FR	73	BY	100191	2	4	202052	56	124
